prodotto_id,rank,anno,mese,mese_nome,periodo,kg_totali_storici,quota_globale_pct,storico_mese_kg,predizione_kg,adjustment_stagionale,variazione_pct,ricavo_lordo_stimato,ricavo_netto_stimato,metodo_globale
40052,2,2025,4,Apr,2025-04,474247.5,9.712150167100733,12.272160000000003,7.689990793210931,0.9315763604447048,-37.33791937840667,0.0,0.0,SARIMA
40052,2,2025,5,Mag,2025-05,474247.5,9.712150167100733,13.030660000000001,10.545598579247777,0.9891538911644238,-19.070879147734832,0.0,0.0,SARIMA
40052,2,2025,6,Giu,2025-06,474247.5,9.712150167100733,13.598980000000001,13.179443859484664,1.0322949093036866,-3.0850559418084122,0.0,0.0,SARIMA
40052,2,2025,7,Lug,2025-07,474247.5,9.712150167100733,12.335800000000003,13.75281638143515,0.936407255705091,11.487024606714979,0.0,0.0,SARIMA
40052,2,2025,8,Ago,2025-08,474247.5,9.712150167100733,10.76626,9.515293946289242,0.8172638970157987,-11.619318627924258,0.0,0.0,SARIMA
40052,2,2025,9,Set,2025-09,474247.5,9.712150167100733,15.247700000000002,11.380831981831113,1.1574488004681103,-25.360336432175924,0.0,0.0,SARIMA
40052,2,2025,10,Ott,2025-10,474247.5,9.712150167100733,13.530160000000002,11.643839194296387,1.0270708016383852,-13.941600141488465,0.0,0.0,SARIMA
40052,2,2025,11,Nov,2025-11,474247.5,9.712150167100733,13.239339999999999,11.695882958326164,1.004994733762434,-11.658111670776904,0.0,0.0,SARIMA
40052,2,2025,12,Dic,2025-12,474247.5,9.712150167100733,11.04672,8.32823171857467,0.8385535400819194,-24.609008659813313,0.0,0.0,SARIMA
40012,3,2025,1,Gen,2025-01,415173.5,8.502369284816043,10.740333333333334,9.825188558513512,0.931302214616299,-8.520636617297617,4.723648345439188,3.598970167953667,SARIMA
40012,3,2025,2,Feb,2025-02,415173.5,8.502369284816043,11.953666666666667,10.267718016220016,1.0365112416857047,-14.104029311340883,4.9364028924134695,3.761068870410262,SARIMA
40012,3,2025,3,Mar,2025-03,415173.5,8.502369284816043,13.546166666666666,10.219910326175606,1.1745980897143,-24.554963941762566,4.913418426045965,3.7435568960350203,SARIMA
40012,3,2025,4,Apr,2025-04,415173.5,8.502369284816043,10.928166666666666,6.847816607128754,0.9475893813068511,-37.33791937840667,3.292219522658055,2.508357731548994,SARIMA
40012,3,2025,5,Mag,2025-05,415173.5,8.502369284816043,12.933666666666666,10.467102727295801,1.1214877635494558,-19.070879147734832,5.03226092658452,3.8341035631120146,SARIMA
40012,3,2025,6,Giu,2025-06,415173.5,8.502369284816043,10.577,10.25069363303492,0.9171394609723404,-3.0850559418084456,4.928218092805251,3.754832832613524,SARIMA
40012,3,2025,7,Lug,2025-07,415173.5,8.502369284816043,12.552166666666666,13.99403714034254,1.0884076175382098,11.487024606714957,6.727902471318529,5.126020930528402,SARIMA
40012,3,2025,8,Ago,2025-08,415173.5,8.502369284816043,9.5935,8.478800667430086,0.8318594515305047,-11.619318627924269,4.076346474726003,3.1057877902674305,SARIMA
40012,3,2025,9,Set,2025-09,415173.5,8.502369284816043,12.101833333333333,9.03276768553879,1.0493588824912958,-25.360336432175924,4.342676771893649,3.3087061119189705,SARIMA
40012,3,2025,10,Ott,2025-10,415173.5,8.502369284816043,11.944333333333335,10.27910214043348,1.0357019414774786,-13.941600141488475,4.941876029054558,3.765238879279663,SARIMA
40012,3,2025,11,Nov,2025-11,415173.5,8.502369284816043,10.983,9.702589595198575,0.9523440200301801,-11.658111670776893,4.664706536153161,3.5540621227833604,SARIMA
40012,3,2025,12,Dic,2025-12,415173.5,8.502369284816043,10.537333333333335,7.944200060819935,0.9136999350873791,-24.609008659813348,3.819326952317277,2.9099633922417345,SARIMA
40056,4,2025,1,Gen,2025-01,301356.3,6.17149829867708,8.3125,7.6042220811871335,0.9930105990815523,-8.520636617297638,5.168354251397874,3.820087924946255,SARIMA
40056,4,2025,2,Feb,2025-02,301356.3,6.17149829867708,9.2897,7.979477989064367,1.10974683456095,-14.10402931134087,5.423404070581572,4.008603008690728,SARIMA
40056,4,2025,3,Mar,2025-03,301356.3,6.17149829867708,9.303,7.018651704497829,1.1113356515194805,-24.554963941762566,4.770360201047579,3.52591840946995,SARIMA
40056,4,2025,4,Apr,2025-04,301356.3,6.17149829867708,8.9481,5.607065636100793,1.0689393253102724,-37.33791937840667,3.8109488661441557,2.8167882923674195,SARIMA
40056,4,2025,5,Mag,2025-05,301356.3,6.17149829867708,8.1872,6.625828982416653,0.9780422708932915,-19.070879147734843,4.503370762280822,3.328578389511912,SARIMA
40056,4,2025,6,Giu,2025-06,301356.3,6.17149829867708,8.3153,8.058768343270804,0.9933450868622957,-3.0850559418084234,5.4772952687715275,4.048435633439825,SARIMA
40056,4,2025,7,Lug,2025-07,301356.3,6.17149829867708,8.2866,9.238483781060044,0.9899165871096772,11.487024606714979,6.2791113169143316,4.641082277719289,SARIMA
40056,4,2025,8,Ago,2025-08,301356.3,6.17149829867708,6.5576,5.795651561655239,0.7833703825007142,-11.619318627924258,3.9391248793756053,2.9115270847558827,SARIMA
40056,4,2025,9,Set,2025-09,301356.3,6.17149829867708,8.507100000000001,6.349670819378362,1.016257499843209,-25.360336432175934,4.315674611279619,3.189846451815371,SARIMA
40056,4,2025,10,Ott,2025-10,301356.3,6.17149829867708,8.092,6.963845716550754,0.9666696863480206,-13.941600141488465,4.733110268341233,3.4983858505130856,SARIMA
40056,4,2025,11,Nov,2025-11,301356.3,6.17149829867708,9.3751,8.282140372752995,1.1199487118736193,-11.658111670776893,5.629114319542519,4.160649714444471,SARIMA
40056,4,2025,12,Dic,2025-12,301356.3,6.17149829867708,7.277900000000002,5.486880958747446,0.869417364096918,-24.609008659813338,3.7292630629784647,2.756411829157996,SARIMA
40006,5,2025,1,Gen,2025-01,269192.0,5.512803183532186,6.599833333333333,6.037485517652719,0.8826190971499895,-8.520636617297617,3.21999227608145,2.414994207061088,SARIMA
40006,5,2025,2,Feb,2025-02,269192.0,5.512803183532186,7.582166666666667,6.5127756575652835,1.013990014562097,-14.10402931134086,3.4734803507014846,2.6051102630261136,SARIMA
40006,5,2025,3,Mar,2025-03,269192.0,5.512803183532186,8.961166666666665,6.76075542290542,1.1984085708342,-24.554963941762566,3.605736225549557,2.704302169162168,SARIMA
40006,5,2025,4,Apr,2025-04,269192.0,5.512803183532186,7.435166666666667,4.659030131016501,0.9943311836904515,-37.33791937840666,2.484816069875467,1.8636120524066007,SARIMA
